game_id	url	TV	game_date	game_time_et	away_team	home_team	away_team_full_name	home_team_full_name	game_number_this_day	game_number_this_day_and_time	arena	city	away_team_espn_abbr	home_team_espn_abbr
263	https://www.nba.com/game/sac-vs-mem-0022000263		1/25/21	8:00 PM ET	SAC	MEM	Sacramento Kings	Memphis Grizzlies	7	2	FedExForum	"Memphis, TN"	sac	mem
264	https://www.nba.com/game/sas-vs-nop-0022000264		1/25/21	8:00 PM ET	SAS	NOP	San Antonio Spurs	New Orleans Pelicans	8	3	Smoothie King Center	"New Orleans, LA"	sas	no
265	https://www.nba.com/game/den-vs-dal-0022000265		1/25/21	8:30 PM ET	DEN	DAL	Denver Nuggets	Dallas Mavericks	9	1	American Airlines Center	"Dallas, TX"	den	dal
266	https://www.nba.com/game/min-vs-gsw-0022000266	NBA TV	1/25/21	10:00 PM ET	MIN	GSW	Minnesota Timberwolves	Golden State Warriors	10	1	Chase Center	"San Francisco, CA"	min	gsw
267	https://www.nba.com/game/okc-vs-por-0022000267	"NBC Sports Northwest, Fox Sports Oklahoma"	1/25/21	10:00 PM ET	OKC	POR	Oklahoma City Thunder	Portland Trail Blazers	11	2	Moda Center	"Portland, OR"	okc	por
268	https://www.nba.com/game/lac-vs-atl-0022000268	Fox Sports Prime Tic	1/26/21	7:30 PM ET	LAC	ATL	LA Clippers	Atlanta Hawks	1	1	State Farm Arena	"Atlanta, GA"	lac	atl
269	https://www.nba.com/game/was-vs-hou-0022000269	NBA TV	1/26/21	8:00 PM ET	WAS	HOU	Washington Wizards	Houston Rockets	2	1	Toyota Center	"Houston, TX"	was	hou
270	https://www.nba.com/game/nyk-vs-uta-0022000270		1/26/21	9:00 PM ET	NYK	UTA	New York Knicks	Utah Jazz	3	1	Vivint Smart Home Arena	"Salt Lake City, UT"	nyk	uth
271	https://www.nba.com/game/ind-vs-cha-0022000271		1/27/21	7:00 PM ET	IND	CHA	Indiana Pacers	Charlotte Hornets	1	1	Spectrum Center	"Charlotte, NC"	ind	cha
272	https://www.nba.com/game/det-vs-cle-0022000272		1/27/21	7:00 PM ET	DET	CLE	Detroit Pistons	Cleveland Cavaliers	2	2	Rocket Mortgage FieldHouse	"Cleveland, OH"	det	cle
273	https://www.nba.com/game/sac-vs-orl-0022000273		1/27/21	7:00 PM ET	SAC	ORL	Sacramento Kings	Orlando Magic	3	3	Amway Center	"Orlando, FL"	sac	orl
274	https://www.nba.com/game/bkn-vs-atl-0022000274		1/27/21	7:30 PM ET	BKN	ATL	Brooklyn Nets	Atlanta Hawks	4	1	State Farm Arena	"Atlanta, GA"	bkn	atl
275	https://www.nba.com/game/den-vs-mia-0022000275		1/27/21	7:30 PM ET	DEN	MIA	Denver Nuggets	Miami Heat	5	2	AmericanAirlines Arena	"Miami, FL"	den	mia
276	https://www.nba.com/game/lal-vs-phi-0022000276	"ESPN, Spectrum SportsNet"	1/27/21	7:30 PM ET	LAL	PHI	Los Angeles Lakers	Philadelphia 76ers	6	3	Wells Fargo Center	"Philadelphia, PA"	lal	phi
277	https://www.nba.com/game/mil-vs-tor-0022000277		1/27/21	7:30 PM ET	MIL	TOR	Milwaukee Bucks	Toronto Raptors	7	4	Amalie Arena	"Tampa, FL"	mil	tor
278	https://www.nba.com/game/chi-vs-mem-0022000278		1/27/21	8:00 PM ET	CHI	MEM	Chicago Bulls	Memphis Grizzlies	8	1	FedExForum	"Memphis, TN"	chi	mem
279	https://www.nba.com/game/was-vs-nop-0022000279		1/27/21	8:00 PM ET	WAS	NOP	Washington Wizards	New Orleans Pelicans	9	2	Smoothie King Center	"New Orleans, LA"	was	no
280	https://www.nba.com/game/bos-vs-sas-0022000280		1/27/21	8:30 PM ET	BOS	SAS	Boston Celtics	San Antonio Spurs	10	1	AT&T Center	"San Antonio, TX"	bos	sas
281	https://www.nba.com/game/okc-vs-phx-0022000281	Fox Sports Oklahoma	1/27/21	9:00 PM ET	OKC	PHX	Oklahoma City Thunder	Phoenix Suns	11	1	PHX Arena	"Phoenix, AZ"	okc	phx
282	https://www.nba.com/game/dal-vs-uta-0022000282		1/27/21	9:00 PM ET	DAL	UTA	Dallas Mavericks	Utah Jazz	12	2	Vivint Smart Home Arena	"Salt Lake City, UT"	dal	uth
283	https://www.nba.com/game/min-vs-gsw-0022000283	ESPN	1/27/21	10:00 PM ET	MIN	GSW	Minnesota Timberwolves	Golden State Warriors	13	1	Chase Center	"San Francisco, CA"	min	gsw
284	https://www.nba.com/game/lal-vs-det-0022000284	Spectrum SportsNet	1/28/21	7:00 PM ET	LAL	DET	Los Angeles Lakers	Detroit Pistons	1	1	Little Caesars Arena	"Detroit, MI"	lal	det
285	https://www.nba.com/game/lac-vs-mia-0022000285	"TNT, Fox Sports Prime Tic"	1/28/21	7:00 PM ET	LAC	MIA	LA Clippers	Miami Heat	2	2	AmericanAirlines Arena	"Miami, FL"	lac	mia
286	https://www.nba.com/game/gsw-vs-phx-0022000286		1/28/21	9:00 PM ET	GSW	PHX	Golden State Warriors	Phoenix Suns	3	1	PHX Arena	"Phoenix, AZ"	gsw	phx
287	https://www.nba.com/game/por-vs-hou-0022000287	TNT	1/28/21	9:30 PM ET	POR	HOU	Portland Trail Blazers	Houston Rockets	4	1	Toyota Center	"Houston, TX"	por	hou
288	https://www.nba.com/game/ind-vs-cha-0022000288		1/29/21	7:00 PM ET	IND	CHA	Indiana Pacers	Charlotte Hornets	1	1	Spectrum Center	"Charlotte, NC"	ind	cha
289	https://www.nba.com/game/lac-vs-orl-0022000289	Fox Sports Prime Tic	1/29/21	7:00 PM ET	LAC	ORL	LA Clippers	Orlando Magic	2	2	Amway Center	"Orlando, FL"	lac	orl
290	https://www.nba.com/game/atl-vs-was-0022000290		1/29/21	7:00 PM ET	ATL	WAS	Atlanta Hawks	Washington Wizards	3	3	Capital One Arena	"Washington, DC"	atl	was
291	https://www.nba.com/game/cle-vs-nyk-0022000291		1/29/21	7:30 PM ET	CLE	NYK	Cleveland Cavaliers	New York Knicks	4	1	Madison Square Garden	"New York, NY"	cle	nyk
292	https://www.nba.com/game/sac-vs-tor-0022000292		1/29/21	7:30 PM ET	SAC	TOR	Sacramento Kings	Toronto Raptors	5	2	Amalie Arena	"Tampa, FL"	sac	tor
293	https://www.nba.com/game/mil-vs-nop-0022000293	ESPN	1/29/21	7:30 PM ET	MIL	NOP	Milwaukee Bucks	New Orleans Pelicans	6	3	Smoothie King Center	"New Orleans, LA"	mil	no
294	https://www.nba.com/game/phi-vs-min-0022000294		1/29/21	8:00 PM ET	PHI	MIN	Philadelphia 76ers	Minnesota Timberwolves	7	1	Target Center	"Minneapolis, MN"	phi	min
295	https://www.nba.com/game/bkn-vs-okc-0022000295	Fox Sports Oklahoma	1/29/21	8:00 PM ET	BKN	OKC	Brooklyn Nets	Oklahoma City Thunder	8	2	Chesapeake Energy Arena	"Oklahoma City, OK"	bkn	okc
296	https://www.nba.com/game/den-vs-sas-0022000296		1/29/21	8:30 PM ET	DEN	SAS	Denver Nuggets	San Antonio Spurs	9	1	AT&T Center	"San Antonio, TX"	den	sas
297	https://www.nba.com/game/dal-vs-uta-0022000297	ESPN	1/29/21	10:00 PM ET	DAL	UTA	Dallas Mavericks	Utah Jazz	10	1	Vivint Smart Home Arena	"Salt Lake City, UT"	dal	uth
298	https://www.nba.com/game/por-vs-chi-0022000298	NBC Sports Northwest	1/30/21	5:00 PM ET	POR	CHI	Portland Trail Blazers	Chicago Bulls	1	1	United Center	"Chicago, IL"	por	chi
