row_num,game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,preview_url
674,0022200674,2023-01-18,8:00 pm ET,IND,OKC,Indiana Pacers,Oklahoma City Thunder,https://www.nba.com/game/ind-vs-okc-0022200674
675,0022200675,2023-01-18,9:00 pm ET,LAC,UTA,LA Clippers,Utah Jazz,https://www.nba.com/game/lac-vs-uta-0022200675
676,0022200676,2023-01-18,10:00 pm ET,MIN,DEN,Minnesota Timberwolves,Denver Nuggets,https://www.nba.com/game/min-vs-den-0022200676
677,0022200677,2023-01-18,10:30 pm ET,SAC,LAL,Sacramento Kings,Los Angeles Lakers,https://www.nba.com/game/sac-vs-lal-0022200677
678,0022200678,2023-01-19,3:00 pm ET,CHI,DET,Chicago Bulls,Detroit Pistons,https://www.nba.com/game/chi-vs-det-0022200678
679,0022200679,2023-01-19,7:30 pm ET,GSW,BOS,Golden State Warriors,Boston Celtics,https://www.nba.com/game/gsw-vs-bos-0022200679
680,0022200680,2023-01-19,8:00 pm ET,TOR,MIN,Toronto Raptors,Minnesota Timberwolves,https://www.nba.com/game/tor-vs-min-0022200680
681,0022200681,2023-01-19,10:00 pm ET,BKN,PHX,Brooklyn Nets,Phoenix Suns,https://www.nba.com/game/bkn-vs-phx-0022200681
682,0022200682,2023-01-19,10:00 pm ET,PHI,POR,Philadelphia 76ers,Portland Trail Blazers,https://www.nba.com/game/phi-vs-por-0022200682
683,0022200683,2023-01-20,7:00 pm ET,NOP,ORL,New Orleans Pelicans,Orlando Magic,https://www.nba.com/game/nop-vs-orl-0022200683
684,0022200684,2023-01-20,7:30 pm ET,NYK,ATL,New York Knicks,Atlanta Hawks,https://www.nba.com/game/nyk-vs-atl-0022200684
685,0022200685,2023-01-20,7:30 pm ET,GSW,CLE,Golden State Warriors,Cleveland Cavaliers,https://www.nba.com/game/gsw-vs-cle-0022200685
686,0022200686,2023-01-20,7:30 pm ET,MIA,DAL,Miami Heat,Dallas Mavericks,https://www.nba.com/game/mia-vs-dal-0022200686
687,0022200687,2023-01-20,8:00 pm ET,LAC,SAS,LA Clippers,San Antonio Spurs,https://www.nba.com/game/lac-vs-sas-0022200687
688,0022200688,2023-01-20,9:00 pm ET,IND,DEN,Indiana Pacers,Denver Nuggets,https://www.nba.com/game/ind-vs-den-0022200688
689,0022200689,2023-01-20,9:00 pm ET,BKN,UTA,Brooklyn Nets,Utah Jazz,https://www.nba.com/game/bkn-vs-uta-0022200689
690,0022200690,2023-01-20,10:00 pm ET,MEM,LAL,Memphis Grizzlies,Los Angeles Lakers,https://www.nba.com/game/mem-vs-lal-0022200690
691,0022200691,2023-01-20,10:00 pm ET,OKC,SAC,Oklahoma City Thunder,Sacramento Kings,https://www.nba.com/game/okc-vs-sac-0022200691
692,0022200692,2023-01-21,5:00 pm ET,BOS,TOR,Boston Celtics,Toronto Raptors,https://www.nba.com/game/bos-vs-tor-0022200692
693,0022200693,2023-01-21,7:00 pm ET,ORL,WAS,Orlando Magic,Washington Wizards,https://www.nba.com/game/orl-vs-was-0022200693
694,0022200694,2023-01-21,7:30 pm ET,CHA,ATL,Charlotte Hornets,Atlanta Hawks,https://www.nba.com/game/cha-vs-atl-0022200694
695,0022200695,2023-01-21,7:30 pm ET,MIL,CLE,Milwaukee Bucks,Cleveland Cavaliers,https://www.nba.com/game/mil-vs-cle-0022200695
696,0022200696,2023-01-21,8:00 pm ET,HOU,MIN,Houston Rockets,Minnesota Timberwolves,https://www.nba.com/game/hou-vs-min-0022200696
697,0022200697,2023-01-21,9:00 pm ET,IND,PHX,Indiana Pacers,Phoenix Suns,https://www.nba.com/game/ind-vs-phx-0022200697
