game_id,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,away_team_espn_abbr,home_team_espn_abbr
game_0021900132,2019-11-10,3:30 PM,DEN,MIN,Denver Nuggets,Minnesota Timberwolves,1,1,den,min
game_0021900134,2019-11-10,6:00 PM,CHA,PHI,Charlotte Hornets,Philadelphia 76ers,2,1,cha,phi
game_0021900133,2019-11-10,6:00 PM,IND,ORL,Indiana Pacers,Orlando Magic,3,2,ind,orl
game_0021900135,2019-11-10,7:00 PM,MIL,OKC,Milwaukee Bucks,Oklahoma City Thunder,4,1,mil,okc
game_0021900136,2019-11-10,7:30 PM,CLE,NYK,Cleveland Cavaliers,New York Knicks,5,1,cle,nyk
game_0021900137,2019-11-10,8:00 PM,BKN,PHX,Brooklyn Nets,Phoenix Suns,6,1,bkn,phx
game_0021900138,2019-11-10,9:00 PM,ATL,POR,Atlanta Hawks,Portland Trail Blazers,7,1,atl,por
game_0021900139,2019-11-10,9:30 PM,TOR,LAL,Toronto Raptors,Los Angeles Lakers,8,1,tor,lal
game_0021900140,2019-11-11,7:00 PM,MIN,DET,Minnesota Timberwolves,Detroit Pistons,1,1,min,det
game_0021900141,2019-11-11,7:30 PM,DAL,BOS,Dallas Mavericks,Boston Celtics,2,1,dal,bos
game_0021900142,2019-11-11,8:00 PM,HOU,NOP,Houston Rockets,New Orleans Pelicans,3,1,hou,no
game_0021900143,2019-11-11,8:30 PM,MEM,SAS,Memphis Grizzlies,San Antonio Spurs,4,1,mem,sas
game_0021900145,2019-11-11,10:30 PM,TOR,LAC,Toronto Raptors,LA Clippers,5,1,tor,lac
game_0021900144,2019-11-11,10:30 PM,UTA,GSW,Utah Jazz,Golden State Warriors,6,2,uth,gsw
game_0021900147,2019-11-12,7:00 PM,CLE,PHI,Cleveland Cavaliers,Philadelphia 76ers,1,1,cle,phi
game_0021900146,2019-11-12,7:00 PM,OKC,IND,Oklahoma City Thunder,Indiana Pacers,2,2,okc,ind
game_0021900148,2019-11-12,7:30 PM,DET,MIA,Detroit Pistons,Miami Heat,3,1,det,mia
game_0021900149,2019-11-12,8:00 PM,NYK,CHI,New York Knicks,Chicago Bulls,4,1,nyk,chi
game_0021900150,2019-11-12,9:00 PM,ATL,DEN,Atlanta Hawks,Denver Nuggets,5,1,atl,den
game_0021900152,2019-11-12,9:00 PM,BKN,UTA,Brooklyn Nets,Utah Jazz,6,2,bkn,uth
game_0021900151,2019-11-12,9:00 PM,LAL,PHX,Los Angeles Lakers,Phoenix Suns,7,3,lal,phx
game_0021900153,2019-11-12,10:00 PM,POR,SAC,Portland Trail Blazers,Sacramento Kings,8,1,por,sac
game_0021900154,2019-11-13,7:00 PM,MEM,CHA,Memphis Grizzlies,Charlotte Hornets,1,1,mem,cha
game_0021900155,2019-11-13,7:00 PM,PHI,ORL,Philadelphia 76ers,Orlando Magic,2,2,phi,orl
game_0021900157,2019-11-13,7:30 PM,LAC,HOU,LA Clippers,Houston Rockets,3,1,lac,hou
game_0021900156,2019-11-13,7:30 PM,WAS,BOS,Washington Wizards,Boston Celtics,4,2,was,bos
game_0021900158,2019-11-13,8:00 PM,SAS,MIN,San Antonio Spurs,Minnesota Timberwolves,5,1,sas,min
game_0021900159,2019-11-13,10:00 PM,GSW,LAL,Golden State Warriors,Los Angeles Lakers,6,1,gsw,lal
game_0021900160,2019-11-13,10:00 PM,TOR,POR,Toronto Raptors,Portland Trail Blazers,7,2,tor,por
game_0021900161,2019-11-14,6:00 PM,MIA,CLE,Miami Heat,Cleveland Cavaliers,1,1,mia,cle
game_0021900163,2019-11-14,8:00 PM,CHI,MIL,Chicago Bulls,Milwaukee Bucks,2,1,chi,mil
game_0021900162,2019-11-14,8:00 PM,DAL,NYK,Dallas Mavericks,New York Knicks,3,2,dal,nyk
game_0021900164,2019-11-14,8:00 PM,LAC,NOP,LA Clippers,New Orleans Pelicans,4,3,lac,no
game_0021900165,2019-11-14,9:00 PM,ATL,PHX,Atlanta Hawks,Phoenix Suns,5,1,atl,phx
game_0021900166,2019-11-14,10:30 PM,BKN,DEN,Brooklyn Nets,Denver Nuggets,6,1,bkn,den
game_0021900167,2019-11-15,7:00 PM,DET,CHA,Detroit Pistons,Charlotte Hornets,1,1,det,cha
game_0021900168,2019-11-15,7:00 PM,SAS,ORL,San Antonio Spurs,Orlando Magic,2,2,sas,orl
game_0021900169,2019-11-15,8:00 PM,IND,HOU,Indiana Pacers,Houston Rockets,3,1,ind,hou
game_0021900172,2019-11-15,8:00 PM,PHI,OKC,Philadelphia 76ers,Oklahoma City Thunder,4,2,phi,okc
game_0021900170,2019-11-15,8:00 PM,UTA,MEM,Utah Jazz,Memphis Grizzlies,5,3,uth,mem
game_0021900171,2019-11-15,8:00 PM,WAS,MIN,Washington Wizards,Minnesota Timberwolves,6,4,was,min
