row_num,game_id,game_url,game_date,game_time_et,away_team,home_team,away_team_full_name,home_team_full_name,game_number_this_day,game_number_this_day_and_time,tv,local_tv,radio,arena,city,away_team_espn_abbr,home_team_espn_abbr
1045,0022301014,https://www.nba.com/game/cle-vs-min-0022301014,2024-03-22,8:00 pm,CLE,MIN,Cleveland Cavaliers,Minnesota Timberwolves,4,2,LEAGUE PASS,WTAM/WMMS/La Mega,Bally Sports North|Bally Sports Ohio,,,cle,min
1046,0022301015,https://www.nba.com/game/mem-vs-sas-0022301015,2024-03-22,8:00 pm,MEM,SAS,Memphis Grizzlies,San Antonio Spurs,5,3,LEAGUE PASS,WOAI/KXTN|ESPN 92.9FM/680AM,Bally Sports SW-SA|Bally Sports SE-MEM,,,mem,sas
1047,0022301016,https://www.nba.com/game/ind-vs-gsw-0022301016,2024-03-22,10:00 pm,IND,GSW,Indiana Pacers,Golden State Warriors,6,1,LEAGUE PASS,95.7 The Game|93.5/107.5 The Fan,NBC Sports Bay Area|Bally Sports Indiana,,,ind,gsw
1048,0022301017,https://www.nba.com/game/lac-vs-por-0022301017,2024-03-22,10:00 pm,LAC,POR,LA Clippers,Portland Trail Blazers,7,2,LEAGUE PASS,Rip City Radio 620|AM 570 KLAC/S: KWKW,ROOT SPORTS PLUS|Bally Sports SoCal,,,lac,por
1049,0022301018,https://www.nba.com/game/phi-vs-lal-0022301018,2024-03-22,10:30 pm,PHI,LAL,Philadelphia 76ers,Los Angeles Lakers,8,1,NBA TV,ESPN LA 710/1330 KWKW|97.5 The Fanatic,Spectrum SportsNet|NBC Sports Philadelphia,,,phi,lal
1050,0022301019,https://www.nba.com/game/bkn-vs-nyk-0022301019,2024-03-23,1:00 pm,BKN,NYK,Brooklyn Nets,New York Knicks,1,1,LEAGUE PASS,ESPN NY 98.7|101.9 FM / 660 AM,MSG|YES,,,bkn,nyk
1051,0022301020,https://www.nba.com/game/sac-vs-orl-0022301020,2024-03-23,7:00 pm,SAC,ORL,Sacramento Kings,Orlando Magic,2,1,LEAGUE PASS,WYGM 96.9FM / 740AM|Sactown Sports 1140 AM,Bally Sports Florida|NBCSCA,,,sac,orl
1052,0022301021,https://www.nba.com/game/cha-vs-atl-0022301021,2024-03-23,7:30 pm,CHA,ATL,Charlotte Hornets,Atlanta Hawks,3,1,LEAGUE PASS,WZGC|WFNZ 92.7 FM,Bally Sports SE-ATL|Bally Sports SE-CHA,,,cha,atl
1053,0022301022,https://www.nba.com/game/tor-vs-was-0022301022,2024-03-23,8:00 pm,TOR,WAS,Toronto Raptors,Washington Wizards,4,1,LEAGUE PASS,The Team 980 AM / WFED 1500 AM|TSN Radio 1050,MNMT|SN,,,tor,was
1054,0022301023,https://www.nba.com/game/bos-vs-chi-0022301023,2024-03-23,8:00 pm,BOS,CHI,Boston Celtics,Chicago Bulls,5,2,LEAGUE PASS,670 AM / S: 1200 AM|98.5 The Sports Hub,NBC Sports Chicago|NBC Sports Boston,,,bos,chi
1055,0022301024,https://www.nba.com/game/uta-vs-hou-0022301024,2024-03-23,8:00 pm,UTA,HOU,Utah Jazz,Houston Rockets,6,3,LEAGUE PASS,790 AM / S: 93.3 FM|KSL 97.5 FM / S: KBMG 106.3 FM,Space City Home Network|KJZZ,,,uth,hou
1056,0022301025,https://www.nba.com/game/phx-vs-sas-0022301025,2024-03-23,8:00 pm,PHX,SAS,Phoenix Suns,San Antonio Spurs,7,4,NBA TV,WOAI/KXTN|KMVP 98.7 / S: KSUN,Bally Sports SW-SA|AZ Family 3TV / AZ Family Sports Network 44,,,phx,sas
1057,0022301026,https://www.nba.com/game/den-vs-por-0022301026,2024-03-23,10:00 pm,DEN,POR,Denver Nuggets,Portland Trail Blazers,8,1,LEAGUE PASS,Rip City Radio 620|Altitude Sports Radio 92.5 FM,ROOT SPORTS/ROOT SPORTS Plus|Altitude,,,den,por
1058,0022301027,https://www.nba.com/game/nop-vs-det-0022301027,2024-03-24,3:00 pm,NOP,DET,New Orleans Pelicans,Detroit Pistons,1,1,LEAGUE PASS,97.1 FM The Ticket|WRNO 99.5FM,Bally Sports DET|Bally Sports New Orleans,,,no,det
1059,0022301028,https://www.nba.com/game/phi-vs-lac-0022301028,2024-03-24,3:30 pm,PHI,LAC,Philadelphia 76ers,LA Clippers,2,1,LEAGUE PASS,AM 570 KLAC/S: KWKW|97.5 The Fanatic,Bally Sports SoCal|NBC Sports Philadelphia,,,phi,lac
